,Job_title,Annual_salary,Age,Sex,Race,Experience_years
0,Trooper,64918.92,31,M,WHITE,7.469010315064649
1,Trooper,64918.92,27,M,HISPA,5.533310061123774
2,Trooper,69540.96,33,M,WHITE,12.372601764581066
3,Probationary Trooper,44082.0,22,M,HISPA,2.9843186376174735
4,"Sergeant, Public Safety",72711.0,54,M,HISPA,9.37733149893564
5,Trooper,79323.0,59,M,WHITE,22.45357536431275
6,"Sergeant, Public Safety",86494.92,51,M,BLACK,24.846506088420707
7,Trooper,69540.96,32,M,WHITE,12.621751302217021
8,Trooper,53241.96,28,M,WHITE,5.974113089248924
9,Trooper,75967.92,48,M,WHITE,22.204425826676797
10,Trooper,79323.0,50,F,WHITE,23.96490003217041
11,Trooper,79323.0,66,M,BLACK,18.25362601559238
12,"Lieutenant, Public Safety",95191.92,67,M,WHITE,17.254289958041575
13,Trooper,53241.96,31,M,AMIND,3.98091678816129
14,"Lieutenant, Public Safety",95191.92,48,M,WHITE,23.96490003217041
15,Trooper,64918.92,41,M,HISPA,3.98091678816129
16,Trooper,53241.96,34,M,WHITE,4.805026797264831
17,Trooper,53241.96,31,M,HISPA,5.974113089248924
18,Trooper,69540.96,39,M,HISPA,16.91752739618199
19,Trooper,53241.96,30,M,HISPA,3.98091678816129
20,Trooper,75967.92,44,M,HISPA,20.150995571435416
21,Trooper,72612.96,44,M,WHITE,17.840202057537116
22,Trooper,64918.92,32,M,WHITE,3.6167751562318187
23,"Sergeant, Public Safety",80820.96,38,M,WHITE,16.244002272462815
24,Trooper,53241.96,23,M,HISPA,4.572304701670808
25,"Sergeant, Public Safety",72711.0,27,M,HISPA,7.469010315064649
26,"Sergeant, Public Safety",80820.96,50,F,HISPA,15.937356687680102
27,Trooper,53241.96,26,M,HISPA,5.475814013977015
28,Trooper,72612.96,44,F,HISPA,17.840202057537116
29,Trooper,53241.96,25,M,HISPA,5.974113089248924
30,Trooper,53241.96,28,M,WHITE,3.4826177128893816
31,Trooper,64918.92,30,M,WHITE,8.446443116559546
32,"Sergeant, Public Safety",77638.92,30,M,HISPA,11.419810126149065
33,Trooper,64918.92,28,F,WHITE,7.586740316365154
34,Trooper,64918.92,34,M,HISPA,6.970711239792741
35,Corporal,75967.92,55,M,HISPA,18.58765067044498
36,Trooper,64918.92,42,M,HISPA,3.4826177128893816
37,Trooper,69540.96,42,M,WHITE,13.256945727838353
38,Trooper,64918.92,27,M,WHITE,6.970711239792741
39,Probationary Trooper,44082.0,25,M,WHITE,2.9843186376174735
40,Trooper,53241.96,24,M,WHITE,4.479215863433199
41,Trooper,53241.96,33,M,WHITE,3.4826177128893816
42,"Sergeant, Public Safety",77638.92,38,M,WHITE,11.26374942675072
43,Trooper,69540.96,32,M,WHITE,12.391767113629985
44,Trooper,53241.96,24,M,WHITE,3.98091678816129
45,Trooper,79323.0,52,M,WHITE,25.17231702225234
46,Trooper,64918.92,41,M,WHITE,4.977514938705107
47,Trooper,53241.96,30,M,BLACK,3.4826177128893816
48,Trooper,64918.92,29,M,WHITE,7.945406134280649
49,Trooper,79323.0,59,M,HISPA,26.073088427551557
50,Trooper,64918.92,26,M,BLACK,7.469010315064649
51,Trooper,64918.92,29,M,WHITE,8.443705209552558
52,Probationary Trooper,44082.0,24,M,HISPA,2.9843186376174735
53,Trooper,69540.96,39,M,HISPA,12.260347577294537
54,Trooper,64918.92,26,M,HISPA,7.469010315064649
55,Trooper,53241.96,27,M,HISPA,4.306727721992923
56,Trooper,53241.96,26,M,HISPA,4.977514938705107
57,Trooper,64918.92,32,M,HISPA,7.469010315064649
58,Trooper,79323.0,56,M,HISPA,26.95469448380186
59,Trooper,53241.96,28,M,WHITE,4.977514938705107
60,Trooper,53241.96,26,F,HISPA,3.808428646721014
61,Trooper,69540.96,48,M,HISPA,13.560853405614079
62,Trooper,79323.0,61,M,HISPA,31.305228717906598
63,Trooper,69540.96,36,M,WHITE,13.560853405614079
64,"Lieutenant, Public Safety",89073.96,39,M,WHITE,15.937356687680102
65,Trooper,79323.0,56,M,HISPA,7.983736832378488
66,Trooper,53241.96,27,M,ASIAN,4.805026797264831
67,"Sergeant, Public Safety",84390.96,45,M,WHITE,19.33509928335284
68,Trooper,64918.92,32,M,WHITE,6.472412164520832
69,Trooper,64918.92,52,M,ASIAN,6.970711239792741
70,Trooper,64918.92,36,M,WHITE,4.805026797264831
71,Trooper,69540.96,31,M,WHITE,12.758646652566446
