,Annual_salary,Age,Experience_years,Sex_F,Sex_M,Race_AMIND,Race_ASIAN,Race_BLACK,Race_HISPA,Race_WHITE,"Job_title_Captain, Public Safety",Job_title_Corporal,Job_title_Director IV,Job_title_Director VI,Job_title_Director VII,"Job_title_Lieutenant, Public Safety","Job_title_Major, Public Safety",Job_title_Probationary Trooper,"Job_title_Sergeant, Public Safety",Job_title_Trooper
0,64918.92,31,7.469010315064649,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,64918.92,27,5.533310061123774,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,69540.96,33,12.372601764581066,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3,44082.0,22,2.9843186376174735,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
4,72711.0,54,9.37733149893564,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
5,79323.0,59,22.45357536431275,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
6,86494.92,51,24.846506088420707,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
7,69540.96,32,12.621751302217021,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8,53241.96,28,5.974113089248924,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
9,75967.92,48,22.204425826676797,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
10,79323.0,50,23.96490003217041,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
11,79323.0,66,18.25362601559238,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
12,95191.92,67,17.254289958041575,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
13,53241.96,31,3.98091678816129,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,95191.92,48,23.96490003217041,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
15,64918.92,41,3.98091678816129,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
16,53241.96,34,4.805026797264831,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
17,53241.96,31,5.974113089248924,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
18,69540.96,39,16.91752739618199,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
19,53241.96,30,3.98091678816129,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
20,75967.92,44,20.150995571435416,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
21,72612.96,44,17.840202057537116,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
22,64918.92,32,3.6167751562318187,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
23,80820.96,38,16.244002272462815,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
24,53241.96,23,4.572304701670808,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
25,72711.0,27,7.469010315064649,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
26,80820.96,50,15.937356687680102,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
27,53241.96,26,5.475814013977015,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
28,72612.96,44,17.840202057537116,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
29,53241.96,25,5.974113089248924,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
30,53241.96,28,3.4826177128893816,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
31,64918.92,30,8.446443116559546,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
32,77638.92,30,11.419810126149065,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
33,64918.92,28,7.586740316365154,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
34,64918.92,34,6.970711239792741,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
35,75967.92,55,18.58765067044498,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
36,64918.92,42,3.4826177128893816,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
37,69540.96,42,13.256945727838353,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
38,64918.92,27,6.970711239792741,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
39,44082.0,25,2.9843186376174735,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
40,53241.96,24,4.479215863433199,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
41,53241.96,33,3.4826177128893816,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
42,77638.92,38,11.26374942675072,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
43,69540.96,32,12.391767113629985,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
44,53241.96,24,3.98091678816129,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
45,79323.0,52,25.17231702225234,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
46,64918.92,41,4.977514938705107,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
47,53241.96,30,3.4826177128893816,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
48,64918.92,29,7.945406134280649,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
49,79323.0,59,26.073088427551557,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
50,64918.92,26,7.469010315064649,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
51,64918.92,29,8.443705209552558,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
52,44082.0,24,2.9843186376174735,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
53,69540.96,39,12.260347577294537,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
54,64918.92,26,7.469010315064649,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
55,53241.96,27,4.306727721992923,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
56,53241.96,26,4.977514938705107,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
57,64918.92,32,7.469010315064649,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
58,79323.0,56,26.95469448380186,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
59,53241.96,28,4.977514938705107,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
60,53241.96,26,3.808428646721014,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
61,69540.96,48,13.560853405614079,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
62,79323.0,61,31.305228717906598,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
63,69540.96,36,13.560853405614079,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
64,89073.96,39,15.937356687680102,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
65,79323.0,56,7.983736832378488,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
66,53241.96,27,4.805026797264831,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
67,84390.96,45,19.33509928335284,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
68,64918.92,32,6.472412164520832,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
69,64918.92,52,6.970711239792741,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
70,64918.92,36,4.805026797264831,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
71,69540.96,31,12.758646652566446,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
72,75967.92,46,19.33509928335284,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
